Frame,Bounce,Person1_X,Person1_Y,Person2_X,Person2_Y,Ball_Frame_X,Ball_Frame_Y
422,0,846.0,298.5,850.5,966.0,622.5,718.5
423,0,853.5,301.5,831.0,972.0,619.5,712.5
424,0,862.5,303.0,804.0,970.5,616.5,712.5
425,0,867.0,304.5,784.5,964.5,616.5,712.5
426,0,870.0,303.0,774.0,967.5,613.5,715.5
427,0,874.5,300.0,753.0,963.0,610.5,721.5
428,0,883.5,301.5,744.0,961.5,604.5,727.5
429,0,895.5,301.5,732.0,958.5,607.5,739.5
430,0,906.0,301.5,718.5,952.5,604.5,751.5
431,0,916.5,300.0,705.0,954.0,,
432,0,924.0,295.5,712.5,949.5,658.5,700.5
433,0,931.5,295.5,708.0,945.0,712.5,643.5
434,0,940.5,298.5,720.0,951.0,745.5,607.5
435,0,951.0,303.0,726.0,954.0,784.5,568.5
436,0,966.0,306.0,721.5,957.0,814.5,535.5
437,0,976.5,307.5,729.0,954.0,847.5,505.5
438,0,985.5,309.0,724.5,954.0,871.5,484.5
439,0,993.0,309.0,705.0,949.5,901.5,457.5
440,0,994.5,310.5,688.5,946.5,925.5,436.5
441,0,994.5,309.0,676.5,957.0,946.5,415.5
442,0,997.5,309.0,666.0,948.0,970.5,403.5
443,0,1006.5,309.0,657.0,948.0,994.5,385.5
444,0,1021.5,307.5,648.0,949.5,1009.5,370.5
445,0,1035.0,307.5,640.5,957.0,1030.5,364.5
446,0,1045.5,307.5,636.0,952.5,1051.5,352.5
447,0,1053.0,307.5,637.5,952.5,1063.5,346.5
448,0,1059.0,307.5,634.5,952.5,1081.5,337.5
449,0,1069.5,309.0,634.5,949.5,,
450,0,1078.5,304.5,634.5,949.5,,
451,0,1093.5,312.0,634.5,948.0,,
452,0,1110.0,312.0,631.5,946.5,,
453,0,1116.0,313.5,631.5,945.0,,
454,0,1129.5,312.0,628.5,945.0,1171.5,313.5
455,0,1134.0,312.0,630.0,945.0,1177.5,316.5
456,0,1141.5,312.0,630.0,945.0,,
457,0,1158.0,310.5,627.0,946.5,,
458,0,1167.0,309.0,627.0,946.5,,
459,0,1177.5,312.0,628.5,948.0,,
460,0,1186.5,312.0,633.0,945.0,,
461,0,1194.0,312.0,639.0,943.5,1243.5,331.5
462,0,1203.0,312.0,646.5,940.5,1252.5,337.5
